State,ElectoralVotes,Dem,Rep
AL,9,38,61
AK,3,42,55
AZ,11,44,54
AR,6,37,61
CA,55,59,38
CO,9,51,47
CT,7,58,40
DE,3,59,40
FL,29,50,49
GA,16,45,53
HI,4,71,28
ID,4,33,65
IL,20,57,41
IN,11,44,54
IA,6,52,47
KS,6,38,60
KY,8,38,61
LA,8,41,58
ME,4,56,41
MD,10,62,37
MA,11,61,38
MI,16,54,45
MN,10,53,45
MS,6,44,56
MO,10,44,54
MT,3,41,55
NE,5,38,61
NV,6,52,46
NH,4,52,46
NJ,14,58,41
NM,5,53,43
NY,29,63,36
NC,15,48,51
ND,3,39,59
OH,18,50,48
OK,7,33,67
OR,7,54,43
PA,20,52,47
RI,4,63,36
SC,9,44,55
SD,3,40,58
TN,11,39,60
TX,38,41,57
UT,6,25,73
VT,3,67,31
VA,13,51,48
WA,12,56,42
WV,5,36,62
WI,10,53,46
WY,3,28,69
